,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best.of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
2151,6,Melbourne,Australian Open,29/01/2016,Grand Slam,Outdoor,Hard,Semifinals,5,Murray A.,Raonic M.,2,14,4,6,7,5,6,7,6,4,6,2,3,2,Completed
2154,6,Melbourne,Australian Open,30/01/2009,Grand Slam,Outdoor,Hard,Semifinals,5,Nadal R.,Verdasco F.,1,15,6,7,6,4,7,6,6,7,6,4,3,2,Completed
2156,6,Melbourne,Australian Open,30/01/2015,Grand Slam,Outdoor,Hard,Semifinals,5,Djokovic N.,Wawrinka S.,1,4,7,6,3,6,6,4,4,6,6,0,3,2,Completed
2167,31,Paris,June French Open ,2/6/2003,Grand Slam,Outdoor,Clay,4th Round,5,Coria G.,Zabaleta M.,7,39,6,4,7,6,5,7,6,7,6,3,3,2,Completed
2169,31,Paris,June French Open ,3/6/2003,Grand Slam,Outdoor,Clay,Quarterfinals,5,Verkerk M.,Moya C.,46,4,6,3,6,4,5,7,4,6,8,6,3,2,Completed
2171,31,Paris,June French Open ,4/6/2003,Grand Slam,Outdoor,Clay,Quarterfinals,5,Costa A.,Robredo T.,9,31,2,6,3,6,6,4,7,5,6,2,3,2,Completed
2172,31,Paris,June French Open ,4/6/2003,Grand Slam,Outdoor,Clay,Quarterfinals,5,Ferrero J.C.,Gonzalez F.,3,20,6,1,3,6,6,1,5,7,6,4,3,2,Completed
2182,30,Paris,June French Open ,6/6/2004,Grand Slam,Outdoor,Clay,The Final,5,Gaudio G.,Coria G.,44,3,0,6,3,6,6,4,6,1,8,6,3,2,Completed
2183,31,Paris,June French Open ,1/6/2005,Grand Slam,Outdoor,Clay,Quarterfinals,5,Puerta M.,Canas G.,37,10,6,2,3,6,1,6,6,3,6,4,3,2,Completed
2184,31,Paris,June French Open ,1/6/2005,Grand Slam,Outdoor,Clay,Quarterfinals,5,Davydenko N.,Robredo T.,12,16,3,6,6,1,6,2,4,6,6,4,3,2,Completed
2185,31,Paris,June French Open ,3/6/2005,Grand Slam,Outdoor,Clay,Semifinals,5,Puerta M.,Davydenko N.,37,12,6,3,5,7,2,6,6,4,6,4,3,2,Completed
2188,31,Paris,June French Open ,1/6/2006,Grand Slam,Outdoor,Clay,2nd Round,5,Benneteau J.,Baghdatis M.,95,19,3,6,6,4,6,3,6,7,6,4,3,2,Completed
2189,31,Paris,June French Open ,1/6/2006,Grand Slam,Outdoor,Clay,2nd Round,5,Djokovic N.,Gonzalez F.,63,9,6,4,6,1,3,6,4,6,6,1,3,2,Completed
2192,31,Paris,June French Open ,1/6/2006,Grand Slam,Outdoor,Clay,2nd Round,5,Hrbaty D.,Karlovic I.,24,52,4,6,6,4,6,7,7,5,6,2,3,2,Completed
2196,31,Paris,June French Open ,1/6/2006,Grand Slam,Outdoor,Clay,2nd Round,5,Monfils G.,Norman D.,28,110,4,6,6,3,6,7,6,0,7,5,3,2,Completed
2202,31,Paris,June French Open ,1/6/2006,Grand Slam,Outdoor,Clay,2nd Round,5,Vassallo-Arguello M.,Grosjean S.,181,21,1,6,6,4,4,6,7,5,6,2,3,2,Completed
2212,31,Paris,June French Open ,2/6/2006,Grand Slam,Outdoor,Clay,3rd Round,5,Nalbandian D.,Tursunov D.,3,34,2,6,5,7,6,4,6,2,6,4,3,2,Completed
2214,31,Paris,June French Open ,2/6/2006,Grand Slam,Outdoor,Clay,3rd Round,5,Vassallo-Arguello M.,Sluiter R.,181,118,2,6,6,4,6,3,3,6,6,1,3,2,Completed
2218,31,Paris,June French Open ,3/6/2006,Grand Slam,Outdoor,Clay,3rd Round,5,Martin A.,Rochus O.,68,30,7,5,4,6,6,7,6,1,6,4,3,2,Completed
2221,31,Paris,June French Open ,4/6/2006,Grand Slam,Outdoor,Clay,3rd Round,5,Ancic M.,Robredo T.,12,7,6,4,4,6,2,6,6,4,7,5,3,2,Completed
2224,31,Paris,June French Open ,4/6/2006,Grand Slam,Outdoor,Clay,4th Round,5,Ljubicic I.,Monaco J.,4,103,4,6,5,7,6,3,6,4,6,2,3,2,Completed
2225,31,Paris,June French Open ,4/6/2006,Grand Slam,Outdoor,Clay,4th Round,5,Monfils G.,Blake J.,28,8,6,2,6,7,7,6,5,7,6,4,3,2,Completed
2245,31,Paris,June French Open ,1/6/2007,Grand Slam,Outdoor,Clay,3rd Round,5,Volandri F.,Ljubicic I.,34,7,6,4,6,7,4,6,6,3,6,4,3,2,Completed
2252,31,Paris,June French Open ,2/6/2007,Grand Slam,Outdoor,Clay,3rd Round,5,Djokovic N.,Patience O.,6,129,7,6,2,6,3,6,7,6,6,3,3,2,Completed
2278,31,Paris,June French Open ,2/6/2008,Grand Slam,Outdoor,Clay,4th Round,5,Ferrer D.,Stepanek R.,5,22,4,6,6,2,1,6,6,3,6,3,3,2,Completed
2286,31,Paris,June French Open ,1/6/2009,Grand Slam,Outdoor,Clay,4th Round,5,Federer R.,Haas T.,2,63,6,7,5,7,6,4,6,0,6,2,3,2,Completed
2294,31,Paris,June French Open ,5/6/2009,Grand Slam,Outdoor,Clay,Semifinals,5,Soderling R.,Gonzalez F.,25,12,6,3,7,5,5,7,4,6,6,4,3,2,Completed
2295,31,Paris,June French Open ,5/6/2009,Grand Slam,Outdoor,Clay,Semifinals,5,Federer R.,Del Potro J.M.,2,5,3,6,7,6,2,6,6,1,6,4,3,2,Completed
2299,31,Paris,June French Open ,2/6/2010,Grand Slam,Outdoor,Clay,Quarterfinals,5,Melzer J.,Djokovic N.,27,3,3,6,2,6,6,2,7,6,6,4,3,2,Completed
2301,31,Paris,June French Open ,4/6/2010,Grand Slam,Outdoor,Clay,Semifinals,5,Soderling R.,Berdych T.,7,17,6,3,3,6,5,7,6,3,6,3,3,2,Completed
2309,32,Paris,June French Open ,1/6/2012,Grand Slam,Outdoor,Clay,2nd Round,5,Granollers M.,Jaziri M.,23,94,7,6,3,6,6,1,3,6,7,5,3,2,Completed
2310,32,Paris,June French Open ,1/6/2012,Grand Slam,Outdoor,Clay,3rd Round,5,Berdych T.,Anderson K.,7,34,6,4,3,6,6,7,6,4,6,4,3,2,Completed
2312,32,Paris,June French Open ,1/6/2012,Grand Slam,Outdoor,Clay,3rd Round,5,Wawrinka S.,Simon G.,21,12,7,5,6,7,6,7,6,3,6,2,3,2,Completed
2313,32,Paris,June French Open ,1/6/2012,Grand Slam,Outdoor,Clay,3rd Round,5,Seppi A.,Verdasco F.,25,16,7,5,3,6,6,3,4,6,6,2,3,2,Completed
2323,32,Paris,June French Open ,2/6/2012,Grand Slam,Outdoor,Clay,3rd Round,5,Monaco J.,Raonic M.,15,22,6,7,6,3,6,7,6,3,6,4,3,2,Completed
2324,32,Paris,June French Open ,2/6/2012,Grand Slam,Outdoor,Clay,3rd Round,5,Granollers M.,Mathieu P.H.,23,261,6,4,6,4,1,6,4,6,6,1,3,2,Completed
2326,32,Paris,June French Open ,3/6/2012,Grand Slam,Outdoor,Clay,4th Round,5,Djokovic N.,Seppi A.,1,25,4,6,6,7,6,3,7,5,6,3,3,2,Completed
2330,32,Paris,June French Open ,4/6/2012,Grand Slam,Outdoor,Clay,4th Round,5,Tsonga J.W.,Wawrinka S.,5,21,6,4,7,6,3,6,3,6,6,4,3,2,Completed
2334,32,Paris,June French Open ,5/6/2012,Grand Slam,Outdoor,Clay,Quarterfinals,5,Djokovic N.,Tsonga J.W.,1,5,6,1,5,7,5,7,7,6,6,1,3,2,Completed
2335,32,Paris,June French Open ,5/6/2012,Grand Slam,Outdoor,Clay,Quarterfinals,5,Federer R.,Del Potro J.M.,3,9,3,6,6,7,6,2,6,0,6,3,3,2,Completed
2343,32,Paris,June French Open ,1/6/2013,Grand Slam,Outdoor,Clay,3rd Round,5,Haas T.,Isner J.,14,21,7,5,7,6,4,6,6,7,10,8,3,2,Completed
2350,32,Paris,June French Open ,2/6/2013,Grand Slam,Outdoor,Clay,4th Round,5,Robredo T.,Almagro N.,34,13,6,7,3,6,6,4,6,4,6,4,3,2,Completed
2352,32,Paris,June French Open ,2/6/2013,Grand Slam,Outdoor,Clay,4th Round,5,Federer R.,Simon G.,3,18,6,1,4,6,2,6,6,2,6,3,3,2,Completed
2355,32,Paris,June French Open ,3/6/2013,Grand Slam,Outdoor,Clay,4th Round,5,Wawrinka S.,Gasquet R.,10,9,6,7,4,6,6,4,7,5,8,6,3,2,Completed
2361,32,Paris,June French Open ,7/6/2013,Grand Slam,Outdoor,Clay,Semifinals,5,Nadal R.,Djokovic N.,4,1,6,4,3,6,6,1,6,7,9,7,3,2,Completed
2365,32,Paris,June French Open ,1/6/2014,Grand Slam,Outdoor,Clay,3rd Round,5,Murray A.,Kohlschreiber P.,8,24,3,6,6,3,6,3,4,6,12,10,3,2,Completed
2367,32,Paris,June French Open ,1/6/2014,Grand Slam,Outdoor,Clay,4th Round,5,Gulbis E.,Federer R.,17,4,6,7,7,6,6,2,4,6,6,3,3,2,Completed
2376,32,Paris,June French Open ,4/6/2014,Grand Slam,Outdoor,Clay,Quarterfinals,5,Murray A.,Monfils G.,8,28,6,4,6,1,4,6,1,6,6,0,3,2,Completed
2386,33,Paris,June French Open ,2/6/2015,Grand Slam,Outdoor,Clay,Quarterfinals,5,Tsonga J.W.,Nishikori K.,15,5,6,1,6,4,4,6,3,6,6,3,3,2,Completed
2391,33,Paris,June French Open ,6/6/2015,Grand Slam,Outdoor,Clay,Semifinals,5,Djokovic N.,Murray A.,1,3,6,3,6,3,5,7,5,7,6,1,3,2,Completed
2408,31,Paris,French Open,22/05/2011,Grand Slam,Outdoor,Clay,1st Round,5,Teixeira M.,Millot V.,181,152,6,2,5,7,6,7,6,4,6,1,3,2,Completed
2420,33,Paris,French Open,22/05/2016,Grand Slam,Outdoor,Clay,1st Round,5,Paire B.,Albot R.,21,137,6,2,4,6,6,4,1,6,6,4,3,2,Completed
2424,31,Paris,French Open,23/05/2005,Grand Slam,Outdoor,Clay,1st Round,5,Vicente F.,Armando H.,155,152,7,6,6,4,2,6,4,6,6,3,3,2,Completed
2425,31,Paris,French Open,23/05/2005,Grand Slam,Outdoor,Clay,1st Round,5,Tipsarevic J.,Hrbaty D.,107,20,6,7,6,3,3,6,6,3,8,6,3,2,Completed
2433,31,Paris,French Open,23/05/2005,Grand Slam,Outdoor,Clay,1st Round,5,Sanguinetti D.,Ascione T.,66,144,3,6,5,7,6,0,6,3,6,4,3,2,Completed
2450,31,Paris,French Open,23/05/2005,Grand Slam,Outdoor,Clay,1st Round,5,Soderling R.,Verdasco F.,35,55,1,6,3,6,6,3,6,3,6,3,3,2,Completed
2457,31,Paris,French Open,23/05/2010,Grand Slam,Outdoor,Clay,1st Round,5,Fognini F.,Massu N.,92,91,6,1,3,6,2,6,6,3,6,3,3,2,Completed
2464,31,Paris,French Open,23/05/2010,Grand Slam,Outdoor,Clay,1st Round,5,Tsonga J.W.,Brands D.,10,88,4,6,6,3,6,2,6,7,7,5,3,2,Completed
2466,31,Paris,French Open,23/05/2010,Grand Slam,Outdoor,Clay,1st Round,5,Chiudinelli M.,Devvarman S.,68,108,6,3,3,6,6,3,3,6,6,3,3,2,Completed
2468,31,Paris,French Open,23/05/2010,Grand Slam,Outdoor,Clay,1st Round,5,Roger-Vasselin E.,Anderson K.,124,93,1,6,4,6,6,3,7,6,6,1,3,2,Completed
2477,31,Paris,French Open,23/05/2011,Grand Slam,Outdoor,Clay,1st Round,5,Ramos A.,Marti J.,117,268,6,3,6,7,4,6,6,1,6,3,3,2,Completed
2478,31,Paris,French Open,23/05/2011,Grand Slam,Outdoor,Clay,1st Round,5,Robert S.,Berdych T.,140,6,3,6,3,6,6,2,6,2,9,7,3,2,Completed
2499,33,Paris,French Open,23/05/2016,Grand Slam,Outdoor,Clay,1st Round,5,Wawrinka S.,Rosol L.,4,59,4,6,6,1,3,6,6,3,6,4,3,2,Completed
2500,33,Paris,French Open,23/05/2016,Grand Slam,Outdoor,Clay,1st Round,5,Pavlasek A.,Carballes Baena R.,132,114,6,2,4,6,6,3,1,6,6,1,3,2,Completed
2502,33,Paris,French Open,23/05/2016,Grand Slam,Outdoor,Clay,1st Round,5,Troicki V.,Dimitrov G.,24,36,2,6,6,3,5,7,7,5,6,3,3,2,Completed
2503,33,Paris,French Open,23/05/2016,Grand Slam,Outdoor,Clay,1st Round,5,Daniel T.,Klizan M.,93,45,3,6,4,6,7,5,6,4,3,0,2,2,Retired
2507,33,Paris,French Open,23/05/2016,Grand Slam,Outdoor,Clay,1st Round,5,Dodig I.,Youzhny M.,77,78,6,4,5,7,7,5,2,6,6,3,3,2,Completed
2508,33,Paris,French Open,23/05/2016,Grand Slam,Outdoor,Clay,1st Round,5,Brown D.,Sela D.,116,62,6,7,6,4,7,6,4,6,6,4,3,2,Completed
2512,33,Paris,French Open,23/05/2016,Grand Slam,Outdoor,Clay,1st Round,5,Sock J.,Haase R.,25,86,6,3,7,5,3,6,6,7,6,2,3,2,Completed
2524,30,Paris,French Open,24/05/2004,Grand Slam,Outdoor,Clay,1st Round,5,Henman T.,Saulnier C.,9,79,4,6,4,6,7,6,6,4,6,3,3,2,Completed
2525,30,Paris,French Open,24/05/2004,Grand Slam,Outdoor,Clay,1st Round,5,Spadea V.,Serra F.,28,224,7,5,1,6,4,6,7,6,9,7,3,2,Completed
2546,30,Paris,French Open,24/05/2004,Grand Slam,Outdoor,Clay,1st Round,5,Voltchkov V.,Stepanek R.,171,61,6,3,2,6,3,6,6,3,11,9,3,2,Completed
2555,31,Paris,French Open,24/05/2005,Grand Slam,Outdoor,Clay,1st Round,5,Hernych J.,Santoro F.,80,51,7,6,3,6,6,1,4,6,6,4,3,2,Completed
2567,31,Paris,French Open,24/05/2005,Grand Slam,Outdoor,Clay,1st Round,5,Lee H.T.,Calatrava A.,58,85,6,4,2,6,5,7,7,6,6,4,3,2,Completed
2568,31,Paris,French Open,24/05/2005,Grand Slam,Outdoor,Clay,1st Round,5,Nieminen J.,Agassi A.,95,7,7,5,4,6,6,7,6,1,6,0,3,2,Completed
2577,31,Paris,French Open,24/05/2005,Grand Slam,Outdoor,Clay,1st Round,5,Guccione C.,Ventura S.,217,109,6,3,2,6,6,1,3,6,6,2,3,2,Completed
2578,31,Paris,French Open,24/05/2005,Grand Slam,Outdoor,Clay,1st Round,5,Johansson T.,Draper S.,19,1015,6,7,6,1,3,6,6,0,6,1,3,2,Completed
2588,31,Paris,French Open,24/05/2009,Grand Slam,Outdoor,Clay,1st Round,5,Hewitt L.,Karlovic I.,48,28,6,7,6,7,7,6,6,4,6,3,3,2,Completed
2592,31,Paris,French Open,24/05/2009,Grand Slam,Outdoor,Clay,1st Round,5,Ouanna J.,Granollers M.,134,96,7,5,2,6,3,6,7,6,6,1,3,2,Completed
2595,31,Paris,French Open,24/05/2009,Grand Slam,Outdoor,Clay,1st Round,5,Petzschner P.,Polansky P.,67,279,5,7,6,2,7,6,4,6,6,3,3,2,Completed
2597,31,Paris,French Open,24/05/2009,Grand Slam,Outdoor,Clay,1st Round,5,Simon G.,Odesnik W.,7,87,3,6,7,5,6,2,4,6,6,3,3,2,Completed
2598,31,Paris,French Open,24/05/2009,Grand Slam,Outdoor,Clay,1st Round,5,Kendrick R.,Brands D.,86,129,6,7,7,5,7,6,4,6,6,3,3,2,Completed
2611,31,Paris,French Open,24/05/2010,Grand Slam,Outdoor,Clay,1st Round,5,Petzschner P.,Ball C.,39,132,6,3,7,6,2,6,5,7,7,9,3,2,Completed
2615,31,Paris,French Open,24/05/2010,Grand Slam,Outdoor,Clay,1st Round,5,Nishikori K.,Giraldo S.,246,58,2,6,4,6,7,6,6,2,6,4,3,2,Completed
2617,31,Paris,French Open,24/05/2010,Grand Slam,Outdoor,Clay,1st Round,5,Lacko L.,Yani M.,81,151,4,6,7,6,7,6,6,7,12,10,3,2,Completed
2622,31,Paris,French Open,24/05/2010,Grand Slam,Outdoor,Clay,1st Round,5,Murray A.,Gasquet R.,4,45,4,6,6,7,6,4,6,2,6,1,3,2,Completed
2623,31,Paris,French Open,24/05/2010,Grand Slam,Outdoor,Clay,1st Round,5,Dolgopolov O.,Clement A.,56,76,3,6,7,6,3,6,6,3,6,3,3,2,Completed
2627,31,Paris,French Open,24/05/2010,Grand Slam,Outdoor,Clay,1st Round,5,Almagro N.,Haase R.,21,205,6,4,3,6,4,6,7,6,6,4,3,2,Completed
2631,31,Paris,French Open,24/05/2010,Grand Slam,Outdoor,Clay,1st Round,5,Fish M.,Berrer M.,97,42,5,7,6,4,3,6,6,1,6,3,3,2,Completed
2638,31,Paris,French Open,24/05/2011,Grand Slam,Outdoor,Clay,1st Round,5,Kubot L.,Almagro N.,122,12,3,6,2,6,7,6,7,6,6,4,3,2,Completed
2644,31,Paris,French Open,24/05/2011,Grand Slam,Outdoor,Clay,1st Round,5,Nadal R.,Isner J.,1,39,6,4,6,7,6,7,6,2,6,4,3,2,Completed
2646,31,Paris,French Open,24/05/2011,Grand Slam,Outdoor,Clay,1st Round,5,Malisse X.,Tursunov D.,40,74,7,5,3,6,6,3,3,6,6,1,3,2,Completed
2649,31,Paris,French Open,24/05/2011,Grand Slam,Outdoor,Clay,1st Round,5,Rosol L.,Roger-Vasselin E.,111,133,3,6,6,2,6,4,3,6,7,5,3,2,Completed
2665,33,Paris,French Open,24/05/2015,Grand Slam,Outdoor,Clay,1st Round,5,Johnson S.,Garcia-Lopez G.,56,24,6,3,6,3,6,7,3,6,6,3,3,2,Completed
2680,33,Paris,French Open,24/05/2016,Grand Slam,Outdoor,Clay,1st Round,5,Murray A.,Stepanek R.,2,128,3,6,3,6,6,0,6,3,7,5,3,2,Completed
2697,33,Paris,French Open,24/05/2016,Grand Slam,Outdoor,Clay,1st Round,5,Mathieu P.H.,Giraldo S.,65,122,6,4,6,7,6,4,1,6,6,3,3,2,Completed
2711,30,Paris,French Open,25/05/2004,Grand Slam,Outdoor,Clay,1st Round,5,Bjorkman J.,Dent T.,26,35,6,3,2,6,6,3,3,6,6,2,3,2,Completed
2712,30,Paris,French Open,25/05/2004,Grand Slam,Outdoor,Clay,1st Round,5,Ljubicic I.,Arazi H.,27,37,6,7,6,4,6,7,6,3,6,3,3,2,Completed
2713,30,Paris,French Open,25/05/2004,Grand Slam,Outdoor,Clay,1st Round,5,Koubek S.,Sanchez D.,96,55,6,3,7,5,3,6,6,7,6,0,3,2,Completed
2716,30,Paris,French Open,25/05/2004,Grand Slam,Outdoor,Clay,1st Round,5,Santoro F.,Clement A.,58,33,6,4,6,3,6,7,3,6,16,14,3,2,Completed
2721,30,Paris,French Open,25/05/2004,Grand Slam,Outdoor,Clay,1st Round,5,Lee H.T.,Soderling R.,123,46,0,6,3,6,6,3,6,4,7,5,3,2,Completed
2729,30,Paris,French Open,25/05/2004,Grand Slam,Outdoor,Clay,1st Round,5,Kuerten G.,Almagro N.,30,130,7,5,7,6,1,6,3,6,7,5,3,2,Completed
2732,30,Paris,French Open,25/05/2004,Grand Slam,Outdoor,Clay,1st Round,5,Elseneer G.,Ramirez-Hidalgo R.,100,80,3,6,7,5,4,6,6,4,6,3,3,2,Completed
2738,31,Paris,French Open,25/05/2005,Grand Slam,Outdoor,Clay,2nd Round,5,Mantilla F.,Novak J.,78,27,6,2,0,6,3,6,7,5,6,3,3,2,Completed
2754,31,Paris,French Open,25/05/2008,Grand Slam,Outdoor,Clay,1st Round,5,Decoud S.,Rochus O.,247,66,3,6,6,4,6,3,6,7,6,1,3,2,Completed
2757,31,Paris,French Open,25/05/2008,Grand Slam,Outdoor,Clay,1st Round,5,Gonzalez M.,Karanusic R.,137,110,6,3,7,5,4,6,3,6,6,2,3,2,Completed
2758,31,Paris,French Open,25/05/2008,Grand Slam,Outdoor,Clay,1st Round,5,Schwank E.,Moya C.,75,17,7,6,6,2,6,7,4,6,6,3,3,2,Completed
2761,31,Paris,French Open,25/05/2008,Grand Slam,Outdoor,Clay,1st Round,5,Murray A.,Eysseric J.,12,390,6,2,1,6,4,6,6,0,6,2,3,2,Completed
2768,31,Paris,French Open,25/05/2009,Grand Slam,Outdoor,Clay,1st Round,5,Wawrinka S.,Devilder N.,18,60,6,3,5,7,2,6,6,4,6,4,3,2,Completed
2773,31,Paris,French Open,25/05/2009,Grand Slam,Outdoor,Clay,1st Round,5,Massu N.,Koellerer D.,120,77,6,3,6,4,1,6,2,6,6,3,3,2,Completed
2776,31,Paris,French Open,25/05/2009,Grand Slam,Outdoor,Clay,1st Round,5,Machado R.,Vliegen K.,130,94,6,2,6,4,4,6,2,6,6,3,3,2,Completed
2778,31,Paris,French Open,25/05/2009,Grand Slam,Outdoor,Clay,1st Round,5,Lopez F.,Ferreiro F.,30,185,6,7,4,6,7,6,7,5,6,2,3,2,Completed
2785,31,Paris,French Open,25/05/2009,Grand Slam,Outdoor,Clay,1st Round,5,Bolelli S.,Berdych T.,58,20,6,4,6,4,5,7,4,6,6,3,3,2,Completed
2791,31,Paris,French Open,25/05/2009,Grand Slam,Outdoor,Clay,1st Round,5,Andreev I.,Fognini F.,27,62,1,6,6,3,6,1,3,6,7,5,3,2,Completed
2800,31,Paris,French Open,25/05/2010,Grand Slam,Outdoor,Clay,1st Round,5,Roddick A.,Nieminen J.,8,69,6,2,4,6,4,6,7,6,6,3,3,2,Completed
2804,31,Paris,French Open,25/05/2010,Grand Slam,Outdoor,Clay,1st Round,5,Zeballos H.,Fischer M.,44,190,7,6,6,7,1,6,6,4,8,6,3,2,Completed
2824,31,Paris,French Open,25/05/2011,Grand Slam,Outdoor,Clay,2nd Round,5,Garcia-Lopez G.,Ilhan M.,33,123,6,4,1,6,6,2,4,6,11,1,3,2,Completed
2829,32,Paris,French Open,25/05/2014,Grand Slam,Outdoor,Clay,1st Round,5,Youzhny M.,Carreno-Busta P.,16,68,3,6,1,6,6,3,6,4,6,0,3,2,Completed
2831,32,Paris,French Open,25/05/2014,Grand Slam,Outdoor,Clay,1st Round,5,Nieminen J.,Przysiezny M.,60,102,6,7,6,4,6,7,6,3,6,4,3,2,Completed
2832,32,Paris,French Open,25/05/2014,Grand Slam,Outdoor,Clay,1st Round,5,Stepanek R.,Arguello F.,43,114,6,7,3,6,6,4,6,3,6,2,3,2,Completed
2843,33,Paris,French Open,25/05/2015,Grand Slam,Outdoor,Clay,1st Round,5,Becker B.,Bemelmans R.,48,95,6,3,6,7,2,6,7,6,6,2,3,2,Completed
2846,33,Paris,French Open,25/05/2015,Grand Slam,Outdoor,Clay,1st Round,5,Monaco J.,Delbonis F.,35,82,6,7,6,2,6,1,6,7,6,2,3,2,Completed
2853,33,Paris,French Open,25/05/2015,Grand Slam,Outdoor,Clay,1st Round,5,Paire B.,Elias G.,71,152,5,7,6,3,4,6,6,4,6,2,3,2,Completed
2871,33,Paris,French Open,25/05/2015,Grand Slam,Outdoor,Clay,1st Round,5,Edmund K.,Robert S.,121,558,2,6,6,4,6,3,5,7,6,2,3,2,Completed
2873,33,Paris,French Open,25/05/2016,Grand Slam,Outdoor,Clay,2nd Round,5,Karlovic I.,Thompson J.,28,94,6,7,6,3,7,6,6,7,12,10,3,2,Completed
2881,33,Paris,French Open,25/05/2016,Grand Slam,Outdoor,Clay,2nd Round,5,Murray A.,Bourgue M.,2,164,6,2,2,6,4,6,6,2,6,3,3,2,Completed
2884,33,Paris,French Open,25/05/2016,Grand Slam,Outdoor,Clay,2nd Round,5,Simon G.,Pella G.,18,48,4,6,1,6,7,5,7,6,6,4,3,2,Completed
2893,31,Paris,French Open,26/05/2003,Grand Slam,Outdoor,Clay,1st Round,5,Spadea V.,Labadze I.,32,105,6,1,3,6,5,7,6,4,6,1,3,2,Completed
2896,31,Paris,French Open,26/05/2003,Grand Slam,Outdoor,Clay,1st Round,5,van Lottum J.,Norman D.,96,119,6,3,3,6,2,6,6,3,6,4,3,2,Completed
2911,31,Paris,French Open,26/05/2003,Grand Slam,Outdoor,Clay,1st Round,5,Philippoussis M.,Kim A.,52,172,2,6,6,7,7,5,6,2,6,2,3,2,Completed
2915,31,Paris,French Open,26/05/2003,Grand Slam,Outdoor,Clay,1st Round,5,Kiefer N.,Larkham T.,77,202,6,3,6,3,4,6,2,6,6,3,3,2,Completed
2921,30,Paris,French Open,26/05/2004,Grand Slam,Outdoor,Clay,1st Round,5,Gaudio G.,Canas G.,44,72,6,2,2,6,4,6,6,3,6,2,3,2,Completed
2924,30,Paris,French Open,26/05/2004,Grand Slam,Outdoor,Clay,2nd Round,5,Blanco G.,Horna L.,95,41,2,6,6,4,1,6,6,2,6,3,3,2,Completed
2934,30,Paris,French Open,26/05/2004,Grand Slam,Outdoor,Clay,2nd Round,5,Santoro F.,Labadze I.,58,50,6,4,3,6,2,6,6,1,6,2,3,2,Completed
2935,30,Paris,French Open,26/05/2004,Grand Slam,Outdoor,Clay,2nd Round,5,Youzhny M.,Pavel A.,38,22,6,7,7,6,1,6,7,6,6,2,3,2,Completed
2936,30,Paris,French Open,26/05/2004,Grand Slam,Outdoor,Clay,2nd Round,5,Mutis O.,Roddick A.,125,2,3,6,6,3,6,7,6,3,6,2,3,2,Completed
2946,31,Paris,French Open,26/05/2005,Grand Slam,Outdoor,Clay,2nd Round,5,Wawrinka S.,Blake J.,87,127,6,7,5,7,6,1,6,3,6,4,3,2,Completed
2948,31,Paris,French Open,26/05/2005,Grand Slam,Outdoor,Clay,2nd Round,5,Sanchez D.,Johansson T.,138,19,6,3,3,6,4,6,7,6,6,4,3,2,Completed
2949,31,Paris,French Open,26/05/2005,Grand Slam,Outdoor,Clay,2nd Round,5,Kiefer N.,Clement A.,28,105,4,6,6,2,6,2,4,6,6,4,3,2,Completed
2952,31,Paris,French Open,26/05/2005,Grand Slam,Outdoor,Clay,2nd Round,5,Acasuso J.,Roddick A.,62,3,3,6,4,6,6,4,6,3,8,6,3,2,Completed
2957,31,Paris,French Open,26/05/2008,Grand Slam,Outdoor,Clay,1st Round,5,Verdasco F.,Ventura S.,23,91,4,6,6,3,6,4,6,7,6,1,3,2,Completed
2971,31,Paris,French Open,26/05/2009,Grand Slam,Outdoor,Clay,1st Round,5,Troicki V.,Kubot L.,32,142,3,6,6,3,6,4,6,7,6,3,3,2,Completed
2981,31,Paris,French Open,26/05/2009,Grand Slam,Outdoor,Clay,1st Round,5,Ferrero J.C.,Ljubicic I.,103,53,2,6,6,4,6,4,3,6,6,3,3,2,Completed
3008,31,Paris,French Open,26/05/2011,Grand Slam,Outdoor,Clay,2nd Round,5,Veic A.,Davydenko N.,227,30,3,6,6,2,7,5,3,6,6,1,3,2,Completed
3010,31,Paris,French Open,26/05/2011,Grand Slam,Outdoor,Clay,2nd Round,5,Chela J.I.,Anderson K.,34,35,3,6,6,3,6,4,4,6,6,2,3,2,Completed
3011,31,Paris,French Open,26/05/2011,Grand Slam,Outdoor,Clay,2nd Round,5,Rosol L.,Melzer J.,111,8,6,7,6,4,4,6,7,6,6,4,3,2,Completed
3020,32,Paris,French Open,26/05/2013,Grand Slam,Outdoor,Clay,1st Round,5,Simon G.,Hewitt L.,18,86,3,6,1,6,6,4,6,1,7,5,3,2,Completed
3022,32,Paris,French Open,26/05/2013,Grand Slam,Outdoor,Clay,1st Round,5,Seppi A.,Mayer L.,22,73,6,7,6,4,6,3,6,7,6,4,3,2,Completed
3045,32,Paris,French Open,26/05/2014,Grand Slam,Outdoor,Clay,1st Round,5,Bagnis F.,Benneteau J.,143,45,6,1,6,2,1,6,3,6,18,16,3,2,Completed
3049,32,Paris,French Open,26/05/2014,Grand Slam,Outdoor,Clay,1st Round,5,Bellucci T.,Becker B.,108,69,6,2,6,4,3,6,4,6,6,2,3,2,Completed
